7x,7y,7z,6x,6y,6z,8x,8y,8z,5x,5y,5z
-1454.9511762549985,-1056.8121764480916,1793.040198281877,995.3396610181304,756.3217883819622,1e-05,1441.4933418773624,532.0079807251439,305.1767150301874,-344.1075346703233,-1133.664572933642,1733.088114989749
1e-05,916.3277152146076,-445.6221828061002,1e-05,-1601.764793579929,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
-1481.794994961852,703.6507831328555,583.6851678039499,-140.34700728826,407.7067458269319,259.39932862864003,164.88964047371147,124.7225014639861,-1538.0642115827104,-1172.114716465551,-1929.1831143017876,-328.242550431725
-1667.902543338388,-1071.1868380430842,-1745.2655353915202,1545.9477398275214,-1890.602483045024,1e-05,-1702.4399807765071,165.37815397703025,-1763.5996936827205,1e-05,1e-05,1695.1107465345924
1e-05,-834.1425936212526,-845.7723971126825,1766.948522474001,-627.9250839431443,-1739.894732052271,-1781.2212722379616,-138.95839936621445,1e-05,-1244.4243469802027,-1693.8999149392946,-931.5963231762064
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1181.0479818587507,1e-05,1e-05,1e-05,1e-05,1e-05
-1760.908742485038,1422.1731839237584,1e-05,-56.36997967206581,1138.375566972266,1e-05,1e-05,1e-05,1e-05,666.6344138948164,1e-05,1363.7952225073388
561.1003053749952,148.60873271133858,697.7704633560351,1935.5727976750777,1827.331617323548,-457.684417916739,1279.8161488762073,1760.559661827859,818.5093632592601,1789.4420300144675,-514.2386760582274,203.15206462318923
201.4113543956011,1e-05,-126.30652153437084,1e-05,1e-05,1e-05,1324.2549109101396,1e-05,1e-05,-1823.964183182095,-1510.1744373514057,1e-05
49.76883552731648,1311.1677966451011,1e-05,1e-05,-1396.1928431631145,1e-05,1e-05,1728.5160920354574,1e-05,1e-05,-1686.3681783196052,-1801.5651889601625
616.8825196288576,-705.6555134242153,1759.62882945642,516.8014842634001,-1268.835254539909,1560.1612667411478,1489.590979497006,1044.2855393038592,-618.7226841818449,454.9842831482586,-93.28625359958042,713.2093591031241
-1301.1552751869049,-349.84340870326804,321.27570007158204,855.6795851289247,91.11051551484506,1e-05,-1662.1999139800173,-345.3889025107881,-1516.0780187063908,1160.9738128700203,-50.0717111972957,-1826.3463299494936
1721.2631585299405,-937.7171726107458,1924.0879404401896,1876.653316902264,1850.6845663803,1527.7344408128963,1e-05,815.3602779615583,1568.0328259839905,-1079.511902406291,169.03619904174994,-1392.2596532043854
